,0
0,0.0
1,1.05208690556041
2,11.003622232691358
3,8.65858859149978
4,11.173151281429192
5,21.004873643126576
6,56.17632680337897
7,42.805960535551534
8,43.00625540986744
9,43.92979596317457
10,38.75350211954389
11,33.169348479054115
12,31.1795598996147
13,31.381040274407013
14,31.985722230759198
15,31.93527539495138
16,29.863080466011496
17,29.55442142665444
18,29.8245816328258
19,30.137814260427316
20,31.17583268794433
21,28.503574854630116
22,29.193084874169035
23,29.773310727881466
24,29.79674493581346
25,29.797696568470933
26,28.915300576348486
27,28.34842850218998
28,28.536908766924316
29,28.637708322473472
30,28.852399314608494
31,29.693827736655358
