,0
0,0.0
1,4.9094132712975025
2,4.640212056477718
3,1.7699861050354873
4,1.554541985126583
5,16.314553535025127
6,47.811130987015
7,40.84464966633248
8,35.79527477779679
9,35.333713766484145
10,32.02588360694315
11,30.70231075408602
12,30.097936785701453
13,31.306640005153177
14,28.550573081143547
15,29.34963752908601
16,29.783885663116383
17,29.72378367503209
18,29.536208157485948
19,28.50628122337869
20,30.152245214235123
21,29.02544794920823
22,30.365721212845887
23,29.61348964178315
24,30.500651587689557
25,29.391456102639793
26,28.899506853180696
27,28.06217620918974
28,27.4206458281897
29,27.785575524430097
30,27.25572486826584
31,27.621400360786502
