,0
0,0.0
1,0.7864637042211278
2,4.932973941167407
3,4.857651462640026
4,5.518185335451652
5,26.14809764779469
6,45.01378809578895
7,39.427133989412155
8,52.22228830188471
9,59.20880398583037
10,49.0569287887055
11,40.56626673576904
12,37.43662833592443
13,36.715087955315575
14,37.306130332781606
15,37.57672678379229
16,33.189662317048956
17,34.024284117252
18,35.34026085424562
19,35.973392891862325
20,37.524381897910956
21,34.297906057742075
22,35.18655429011364
23,34.964592006375945
24,34.52413026654096
25,34.97033926482437
26,32.103284999829945
27,32.48293510468647
28,32.37988782857269
29,32.554112272342344
30,33.42862340062501
31,32.41255842039461
