,0
0,0.0
1,2.6347902272973442
2,4.0485135721996635
3,2.973334441017362
4,10.787158493039225
5,37.14137596781459
6,51.647018231570165
7,54.539860428791386
8,66.89439693543903
9,74.49125307656206
10,57.43763688874918
11,38.07036516713027
12,33.31361642550617
13,31.025075628817795
14,32.034462263707525
15,31.832183247805613
16,28.573783920196917
17,27.876596327843163
18,27.776397816513363
19,28.01260025143326
20,27.462272473128515
21,25.95295610989529
22,25.890109440771514
23,25.948496967180358
24,25.73743183661653
25,25.8531774379721
26,26.896844206424614
27,25.98177571685826
28,25.907344278705665
29,26.363272096873313
30,26.368393209970563
31,25.17764172499611
