,0
0,0.0
1,0.7397158819611523
2,3.173737419222063
3,6.115571251055132
4,6.838260240902419
5,27.81390890198426
6,65.80874781847764
7,48.22962304069532
8,56.131402899402474
9,62.615553570866524
10,46.724094604473734
11,37.3575824843946
12,33.408647359532615
13,31.2005195431318
14,32.35395422539863
15,31.97180375289158
16,30.18579331141807
17,29.844948978639852
18,29.512270663492515
19,29.59370331375024
20,29.710390327156286
21,28.44916811001748
22,28.486434022208723
23,28.85545315938274
24,28.90525130964711
25,29.14036453795293
26,28.920897291037637
27,26.946146992897454
28,27.060844899689442
29,27.483232756853276
30,27.969677865356665
31,28.228217807737213
