,0
0,0.0
1,1.4857557346026895
2,3.7346908469319984
3,3.455664724794702
4,2.600969550704932
5,36.85749055757692
6,48.62209245458165
7,49.361850420899806
8,48.089218725688696
9,49.37578520032152
10,45.89579194276077
11,41.66529993462509
12,37.80102161445965
13,36.594241174439595
14,36.59401591362503
15,36.09187589405072
16,35.975509654346936
17,35.16919014715839
18,34.515451813606866
19,34.294277432092485
20,34.231687030995744
21,32.98750302777929
22,33.096423719617135
23,33.005388789207764
24,33.151350718870695
25,33.16205992035332
26,34.890396516165694
27,34.05621972328427
28,33.94805330385388
29,33.87079963977241
30,33.96632788304183
31,32.817764753290525
