,0
0,79.63331671556462
1,65.8757402447391
2,75.24080787070656
3,78.47150285034326
4,82.87055046794993
5,164.9622757288088
6,143.70065374162692
7,158.31059714781577
8,221.7527341251158
9,251.5929650938636
10,186.81047955403005
11,129.6503243109313
12,100.1317215307487
13,97.07881079698855
14,103.60794092710238
15,101.84246559058626
16,90.10756306986295
17,99.55053525246264
18,102.52693365795612
19,108.16100327181245
20,89.75582400148936
21,82.07887083240473
22,83.93629780307079
23,89.13018205975484
24,86.23467046603429
25,91.61875263058151
26,94.08005627074712
27,90.13043989520862
28,91.1788067351286
29,94.95177609336356
30,95.88841219774838
31,94.30652650223128
