,0
0,76.64536458558716
1,61.80946338200597
2,90.61256331301374
3,80.60150113395432
4,88.39633894958823
5,98.99623600795927
6,81.41949570246376
7,83.78764953310397
8,96.27034355817186
9,98.12421799113186
10,67.47364964936622
11,58.22199272227566
12,56.45432897635662
13,55.2966018320889
14,58.73487209126942
15,60.373715455666364
16,58.028273339003206
17,59.23177835151644
18,58.1618599422156
19,57.25601109292944
20,64.26132123705192
21,68.27591674684989
22,70.09592234841195
23,68.62904613846669
24,68.69976372351134
25,66.65719752338838
26,59.15982284256879
27,62.57369041046534
28,62.02389306992892
29,59.194234432596
30,58.746741852775855
31,54.89532321035572
