,0
0,103.47376306051942
1,79.41214254625046
2,70.3248879358899
3,70.39015883605286
4,70.19443303319414
5,121.05952809567364
6,107.19454059541754
7,121.75722177877876
8,124.42997747826716
9,146.84850205459884
10,108.76360308840012
11,86.34525491615304
12,70.03190643720939
13,63.65705950423114
14,61.7813398280972
15,62.653608534922014
16,61.459589435219996
17,61.829914276777664
18,63.44093137917929
19,71.4605457446386
20,63.93485375382229
21,62.65033980280076
22,60.80408560980019
23,59.44090218254121
24,58.937578575918316
25,58.400406233676264
26,58.30665547412529
27,58.53656590990262
28,57.797388500563116
29,57.5417661552779
30,58.650886571416905
31,73.28551933697946
