,0
0,89.78543033165354
1,84.78890092028423
2,83.7963898348573
3,77.64603803371722
4,77.25160429849345
5,100.92331968175661
6,128.3449012567198
7,131.8472084681627
8,164.345823807798
9,185.01825942519596
10,122.87034158455685
11,88.05455448358069
12,70.54179637621968
13,62.21521300266778
14,69.83671710584099
15,66.02287617625497
16,64.19007031014954
17,63.85121047687962
18,64.34342047016568
19,68.82853525008089
20,66.61906227800726
21,73.47254437599588
22,68.1865741270071
23,69.01107633600047
24,66.74721349672791
25,66.54148018705443
26,66.43345216688981
27,64.74047307418395
28,67.22412927813549
29,66.70192203593612
30,71.6061015419152
31,71.64339068423071
