,0
0,148.07903857281445
1,140.91061250927714
2,143.27102744094844
3,138.0152349773482
4,141.33931324329606
5,105.88834291076213
6,96.91999811696456
7,97.74403439841652
8,86.2078420910477
9,84.76291089862539
10,93.45896920408238
11,100.128428965203
12,120.08214415402094
13,135.10544504798168
14,130.23884260728403
15,132.248029407861
16,132.02109998666828
17,133.37420231758193
18,134.91768444439765
19,132.81067959325927
20,139.41715701450684
21,141.39557147483544
22,141.83862212634915
23,132.6723930325827
24,139.57208342178814
25,137.12560584721209
26,130.02571001813206
27,134.31874777963728
28,133.67302758098336
29,129.90185408709223
30,129.494093009231
31,128.69300243439403
